https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1635292800000,2021-10-27 00:00:00,BTC/USD,60285.0,60755.07374991,60113.0,60646.0,4802986.9566594,79.1970939
1635289200000,2021-10-26 23:00:00,BTC/USD,60265.0,60549.0,60160.0,60288.0,7587564.84065664,125.85530853
1635285600000,2021-10-26 22:00:00,BTC/USD,60797.0,60884.0,59766.0,60275.0,55045736.597196996,913.24324508
1635282000000,2021-10-26 21:00:00,BTC/USD,62087.0,62087.0,60471.0,60809.0,36644912.715464905,602.6231761
1635278400000,2021-10-26 20:00:00,BTC/USD,61989.0,62289.0,61875.0,62089.0,4133340.46492042,66.57121978
1635274800000,2021-10-26 19:00:00,BTC/USD,62323.23857889,62350.47864229,61934.0,61989.0,2370654.72081306,38.24315154
1635271200000,2021-10-26 18:00:00,BTC/USD,62467.0,62593.0,62273.0,62300.0,4934212.682749,79.20084563
1635267600000,2021-10-26 17:00:00,BTC/USD,62046.0,62512.0,61994.0,62465.0,6566659.41714315,105.12542091
1635264000000,2021-10-26 16:00:00,BTC/USD,62529.1885158,62720.0,61912.62021177,62043.0,12940185.18526761,208.56801227
1635260400000,2021-10-26 15:00:00,BTC/USD,61935.0,62779.0,61850.0,62542.0,15017649.881669339,240.12103677
1635256800000,2021-10-26 14:00:00,BTC/USD,62218.0,62257.0,61850.0,61944.0,18662780.52905064,301.28471731
1635253200000,2021-10-26 13:00:00,BTC/USD,62507.0,62578.0,62110.0,62212.0,13966172.53609632,224.49322536
1635249600000,2021-10-26 12:00:00,BTC/USD,62779.0,62883.0,62316.0,62488.0,7449959.53183184,119.22224318
1635246000000,2021-10-26 11:00:00,BTC/USD,63005.0,63121.0,62706.0,62778.0,10160533.95142566,161.84864047
1635242400000,2021-10-26 10:00:00,BTC/USD,62703.0,63040.0,62600.0,63000.0,4442340.29337,70.51333799
1635238800000,2021-10-26 09:00:00,BTC/USD,62852.0,62873.45584097,62640.0,62706.0,10153188.45742068,161.91733578
1635235200000,2021-10-26 08:00:00,BTC/USD,62463.0,63116.0,62460.0,62852.0,44194941.89621956,703.15887953
1635231600000,2021-10-26 07:00:00,BTC/USD,62409.0,62528.0,62218.73256607,62463.24957813,3635701.925561497,58.20545601
1635228000000,2021-10-26 06:00:00,BTC/USD,62397.09501085,62617.0,62207.0,62410.0,5185901.8273752,83.09408472
1635224400000,2021-10-26 05:00:00,BTC/USD,62464.0,62636.67820877,62347.0,62399.0,6331439.726113699,101.4670063
1635220800000,2021-10-26 04:00:00,BTC/USD,62764.0,62812.0,62255.0,62459.0,9069214.57486744,145.20268616
1635217200000,2021-10-26 03:00:00,BTC/USD,62751.0,62852.0,62640.0,62764.24016371,1652683.0828313746,26.33160345
1635213600000,2021-10-26 02:00:00,BTC/USD,62724.0,62915.75247445,62669.0,62753.0,2772552.80942119,44.18199623
1635210000000,2021-10-26 01:00:00,BTC/USD,63101.0,63125.16316171,62715.0,62718.0,2477655.5299998,39.5046961
1635206400000,2021-10-26 00:00:00,BTC/USD,63100.0,63332.60744575,62873.0,63102.71527142,8153438.80565584,129.20900108
1635202800000,2021-10-25 23:00:00,BTC/USD,63028.64745007,63184.0,63000.0,63100.0,1735235.888947,27.49977637
1635199200000,2021-10-25 22:00:00,BTC/USD,62840.0,63125.0,62689.0,63039.0,2250067.8350885697,35.69326663
1635195600000,2021-10-25 21:00:00,BTC/USD,62559.0,63266.0,62558.0,62841.0,9902447.16651945,157.57940145
1635192000000,2021-10-25 20:00:00,BTC/USD,62706.0,62826.16806717,62552.0,62560.0,7774688.861776,124.2757171
1635188400000,2021-10-25 19:00:00,BTC/USD,63129.0,63156.79454648,62664.0,62692.0,13834618.195234759,220.67597453
1635184800000,2021-10-25 18:00:00,BTC/USD,63083.0,63148.91047489,62855.0,63130.0,4647250.1464237,73.61397349
1635181200000,2021-10-25 17:00:00,BTC/USD,63620.0,63643.80270328,62855.0,63095.0,17704496.18767355,280.60062109
1635177600000,2021-10-25 16:00:00,BTC/USD,63600.0,63666.0,63404.0,63607.06932521,8215938.571845561,129.16706679
1635174000000,2021-10-25 15:00:00,BTC/USD,63321.6374269,63624.0,63268.0,63598.34941892,18840766.146446183,296.24614976
1635170400000,2021-10-25 14:00:00,BTC/USD,63250.0,63321.6374269,62915.0,63320.26143791,28248482.95535387,446.12075683
1635166800000,2021-10-25 13:00:00,BTC/USD,62739.0,63375.0,62609.0,63260.0,14229364.7342864,224.93463064
1635163200000,2021-10-25 12:00:00,BTC/USD,62764.82282475,63000.0,62681.0,62739.0,7133762.26056303,113.70538677
1635159600000,2021-10-25 11:00:00,BTC/USD,62801.0,63160.0,62711.29257696,62781.29771978,11281557.279419646,179.69614661
1635156000000,2021-10-25 10:00:00,BTC/USD,62738.0,62834.39397902,62510.0,62805.0,5026796.5766230505,80.03815901
1635152400000,2021-10-25 09:00:00,BTC/USD,62731.0,62879.0,62657.0,62734.0,4991025.9841083605,79.55854854
1635148800000,2021-10-25 08:00:00,BTC/USD,62665.0,62948.0,62662.0266685,62730.0,7773160.894551001,123.9145687
1635145200000,2021-10-25 07:00:00,BTC/USD,62038.0,62875.0,61951.0,62667.0,25334005.13133633,404.26388899
1635141600000,2021-10-25 06:00:00,BTC/USD,61875.0,62054.0,61800.71797204,62038.0,2365844.11084146,38.13540267
1635138000000,2021-10-25 05:00:00,BTC/USD,62073.0,62135.0,61803.0,61852.0,2647447.56672844,42.80294197
1635134400000,2021-10-25 04:00:00,BTC/USD,62105.0,62209.0,61844.98937831,62067.83143954,3404375.0028772755,54.8492661
1635130800000,2021-10-25 03:00:00,BTC/USD,61964.0,62244.0,61851.0,62108.0,8667744.2810866,139.55922395
1635127200000,2021-10-25 02:00:00,BTC/USD,61735.0,62040.0,61653.0,61963.23555119,3433126.2611514027,55.4058585
1635123600000,2021-10-25 01:00:00,BTC/USD,61814.0,62111.0,61699.0,61734.40951221,9201960.138075396,149.05723098
1635120000000,2021-10-25 00:00:00,BTC/USD,60832.0,61820.0,60632.0,61799.0,14650174.659733659,237.06167834
1635116400000,2021-10-24 23:00:00,BTC/USD,60891.0,60937.0,60745.0,60847.0,950199.5663782001,15.6162106
1635112800000,2021-10-24 22:00:00,BTC/USD,60963.0,61035.96903775,60793.0,60882.0,2118523.39888962,34.79720441
1635109200000,2021-10-24 21:00:00,BTC/USD,61142.3150126,61298.0,60821.0,60963.35213874,5814160.234239393,95.37139987
1635105600000,2021-10-24 20:00:00,BTC/USD,60658.0,61142.0,60569.32737956,61132.0,7671084.625385161,125.48394663
1635102000000,2021-10-24 19:00:00,BTC/USD,60117.26167431,60741.0,60110.0,60659.0,8514246.76018887,140.36246493
1635098400000,2021-10-24 18:00:00,BTC/USD,60310.93931326,60310.93931326,59811.0,60128.0,8142301.161446081,135.41613161
1635094800000,2021-10-24 17:00:00,BTC/USD,60408.0,60560.0,60185.0,60313.0,12032296.52686908,199.49756316
1635091200000,2021-10-24 16:00:00,BTC/USD,59887.0,60433.29913959,59533.0,60397.0,24941334.086842302,412.9565059
1635087600000,2021-10-24 15:00:00,BTC/USD,60102.0,60399.0,59667.0,59910.0,17201212.4097162,287.11754982
1635084000000,2021-10-24 14:00:00,BTC/USD,60547.0,60600.0,60065.0,60095.0,4200730.4658207,69.90149706
1635080400000,2021-10-24 13:00:00,BTC/USD,60430.11202953,60810.0,60347.96017722,60575.0,5277908.705408,87.13014784
1635076800000,2021-10-24 12:00:00,BTC/USD,60298.0,60798.0,59781.0,60432.0,21280906.11351888,352.14631509
1635073200000,2021-10-24 11:00:00,BTC/USD,60971.0,61002.0,60176.0,60300.0,12468532.939586999,206.77500729
1635069600000,2021-10-24 10:00:00,BTC/USD,60818.0,61079.0,60769.10163227,60985.04083373,1304778.4125879728,21.3950568
1635066000000,2021-10-24 09:00:00,BTC/USD,60532.0,61304.0,60450.0,60824.0,10026805.3067712,164.8494888
1635062400000,2021-10-24 08:00:00,BTC/USD,60699.0,60722.98754723,60472.91598658,60513.0,4963597.19795706,82.02530362
1635058800000,2021-10-24 07:00:00,BTC/USD,60711.0,60916.0,60538.0,60699.0,7774664.0710620005,128.085538
1635055200000,2021-10-24 06:00:00,BTC/USD,60909.0,61113.0,60642.0,60710.17605322,2059786.9629924656,33.92819947
1635051600000,2021-10-24 05:00:00,BTC/USD,60990.0,61137.0,60854.0,60911.34242654,1273047.2321393522,20.90000288
1635048000000,2021-10-24 04:00:00,BTC/USD,61228.0,61241.0,60909.0,60987.0,2311881.0781193697,37.90776851
1635044400000,2021-10-24 03:00:00,BTC/USD,61193.0,61280.0,61121.0,61217.0,3385234.19438997,55.29892341
1635040800000,2021-10-24 02:00:00,BTC/USD,61003.0,61239.0,60825.0,61231.0,2821069.3463031403,46.07256694
1635037200000,2021-10-24 01:00:00,BTC/USD,61070.0,61142.0,60942.0,61016.0,3862454.5828792,63.3023237
1635033600000,2021-10-24 00:00:00,BTC/USD,61296.0,61476.0,61068.0,61100.0,3711790.64347,60.7494377
1635030000000,2021-10-23 23:00:00,BTC/USD,61026.0,61339.0,60949.0,61302.0,1652541.73664796,26.95738698
1635026400000,2021-10-23 22:00:00,BTC/USD,61039.90303125,61360.80295245,60975.0,61023.99258903,2227106.9987536706,36.49559631
1635022800000,2021-10-23 21:00:00,BTC/USD,61125.9672678,61456.29416618,60921.0,61040.78423212,3147123.8115699794,51.55772245
1635019200000,2021-10-23 20:00:00,BTC/USD,61017.0,61125.47156753,60825.0,61122.0,2151591.21908166,35.20158403
1635015600000,2021-10-23 19:00:00,BTC/USD,61319.0,61322.0,60913.0,61024.0,2092347.4006675198,34.28728698
1635012000000,2021-10-23 18:00:00,BTC/USD,61239.0,61401.0,61135.0,61319.0,2250899.65968412,36.70802948
1635008400000,2021-10-23 17:00:00,BTC/USD,61150.0,61354.40921583,60969.0,61238.0,3106403.6160531403,50.72673203
1635004800000,2021-10-23 16:00:00,BTC/USD,61440.0,61633.0,61005.0,61164.0,6959901.11079132,113.79081013
1635001200000,2021-10-23 15:00:00,BTC/USD,61047.0,61567.49733464,60750.0,61440.0,8289992.2046976,134.92825854
1634997600000,2021-10-23 14:00:00,BTC/USD,61373.0,61471.0,60987.0,61064.0,7200181.619658,117.91205325
1634994000000,2021-10-23 13:00:00,BTC/USD,61534.25671905,61688.84779235,61231.0,61362.0,5139279.50448276,83.75345498
1634990400000,2021-10-23 12:00:00,BTC/USD,61537.0,61764.0,61328.0,61521.03870601,4256006.705453964,69.17969519
1634986800000,2021-10-23 11:00:00,BTC/USD,60124.0,61666.0,59755.0,61537.0,57524345.115740016,934.79280946
1634983200000,2021-10-23 10:00:00,BTC/USD,60668.0,60792.86842363,60111.0,60115.0,8998115.3642402,149.68169948
1634979600000,2021-10-23 09:00:00,BTC/USD,61064.23916031,61099.17959851,60322.0,60666.0,7099409.5121202,117.0245197
1634976000000,2021-10-23 08:00:00,BTC/USD,60877.89015658,61140.0,60877.89015658,61064.23916031,3823327.7356857467,62.61156756
1634972400000,2021-10-23 07:00:00,BTC/USD,61035.0,61080.0,60703.0,60890.0,5626314.2947976,92.40128584
1634968800000,2021-10-23 06:00:00,BTC/USD,60975.0,61068.0,60744.0,61037.99962573,3615608.298399519,59.23536683
1634965200000,2021-10-23 05:00:00,BTC/USD,61146.0,61229.0,60858.0,60977.0,3826968.1248351005,62.760846300000004
1634961600000,2021-10-23 04:00:00,BTC/USD,61234.0,61550.0,61011.0,61143.0,5486556.62754759,89.73319313
1634958000000,2021-10-23 03:00:00,BTC/USD,61135.0,61275.0,61019.80803754,61227.0,2066541.5398314598,33.75212798
1634954400000,2021-10-23 02:00:00,BTC/USD,61034.0,61231.0,60978.0,61130.0,3190473.6865864,52.19161928
1634950800000,2021-10-23 01:00:00,BTC/USD,61171.0,61248.0,60869.0,61031.0,2005219.5272564797,32.85575408
1634947200000,2021-10-23 00:00:00,BTC/USD,60706.0,61171.0,60386.0,61171.0,14233496.30468986,232.68372766
1634943600000,2021-10-22 23:00:00,BTC/USD,60641.4598581,60899.0,60636.0,60706.0,3209554.1295835003,52.87045975
1634940000000,2021-10-22 22:00:00,BTC/USD,60399.0,60843.98357606,60326.0,60649.0,11963990.379784249,197.26607825
1634936400000,2021-10-22 21:00:00,BTC/USD,60727.11260338,60971.0,60177.0,60405.0,15835488.543725248,262.15526105
1634932800000,2021-10-22 20:00:00,BTC/USD,61013.0,61183.0,60706.0,60734.0,5723294.72465864,94.23543196
1634929200000,2021-10-22 19:00:00,BTC/USD,60618.48013698,61030.0,60337.0,61015.34016647,6314314.432366813,103.48732655
1634925600000,2021-10-22 18:00:00,BTC/USD,60580.03476636,60884.0,60039.0,60620.0,13238297.9150422,218.38168781
1634922000000,2021-10-22 17:00:00,BTC/USD,61162.44771675,61273.0,60500.0,60581.0,10739137.69142127,177.26907267
1634918400000,2021-10-22 16:00:00,BTC/USD,60687.50472667,61373.0,60013.0,61166.0,49122536.34908802,803.10199047
1634914800000,2021-10-22 15:00:00,BTC/USD,61568.0,61699.21323798,60555.0,60688.0,55378018.09810688,912.5035937600001
1634911200000,2021-10-22 14:00:00,BTC/USD,62417.0,62429.0,61100.0,61570.0,62862576.0529748,1020.99360164
1634907600000,2021-10-22 13:00:00,BTC/USD,63665.0,63666.0,62333.0,62420.0,21866471.795408398,350.31194802
1634904000000,2021-10-22 12:00:00,BTC/USD,63398.17179963,63666.0,63173.40444213,63654.0,14749539.8306754,231.7142651
1634900400000,2021-10-22 11:00:00,BTC/USD,63220.0,63444.0,63177.0,63399.0,18593230.03371372,293.27323828
1634896800000,2021-10-22 10:00:00,BTC/USD,63304.0,63309.11424372,62891.0,63220.17074743,4086337.2609001393,64.63660589
1634893200000,2021-10-22 09:00:00,BTC/USD,63570.0,63729.0,63130.0,63299.0,8756890.35173048,138.34168552
1634889600000,2021-10-22 08:00:00,BTC/USD,63337.0,63621.0,63271.0,63569.0,10871201.532955611,171.01419769
1634886000000,2021-10-22 07:00:00,BTC/USD,62734.0,63365.79488105,62630.0,63336.69008632,24526321.92016219,387.23719043
1634882400000,2021-10-22 06:00:00,BTC/USD,63024.0,63196.0,62501.0,62738.0,6026126.94008676,96.05226402
1634878800000,2021-10-22 05:00:00,BTC/USD,63025.0,63177.0,62801.0,63017.0,10455139.68968181,165.90982893
1634875200000,2021-10-22 04:00:00,BTC/USD,63204.0,63244.0,62857.0,63023.43720032,3215864.792479397,51.02649007
1634871600000,2021-10-22 03:00:00,BTC/USD,62824.0,63244.0,62824.0,63203.70204343,15946366.273709195,252.3011431
1634868000000,2021-10-22 02:00:00,BTC/USD,62563.0,63000.0,62536.0,62824.0,1952250.76339992,31.07491983
1634864400000,2021-10-22 01:00:00,BTC/USD,62794.80075535,63075.0,62561.0,62561.0,5380009.23539306,85.99621546
1634860800000,2021-10-22 00:00:00,BTC/USD,62199.0,62899.0,62141.0,62783.77372534,12037650.61826491,191.7318744
1634857200000,2021-10-21 23:00:00,BTC/USD,62447.24574779,62690.0,62050.0,62219.4946565,7687827.95000758,123.55979412
1634853600000,2021-10-21 22:00:00,BTC/USD,62750.0,63085.0,62404.0,62463.0,6077988.92792658,97.30542766
1634850000000,2021-10-21 21:00:00,BTC/USD,62665.0,63015.0,62172.0,62741.34755561,8513088.779151179,135.68546279
1634846400000,2021-10-21 20:00:00,BTC/USD,62820.0,63068.0,62367.35851381,62677.0,9057681.72077053,144.51364489
1634842800000,2021-10-21 19:00:00,BTC/USD,62757.0,63466.0,62602.0,62827.0,22076322.925353453,351.38273235
1634839200000,2021-10-21 18:00:00,BTC/USD,62512.13434408,63219.0,62511.25576002,62749.0,15005661.95300651,239.13786599
1634835600000,2021-10-21 17:00:00,BTC/USD,62829.0,63394.0,62494.0,62515.0,34583774.964444004,553.2076296
1634832000000,2021-10-21 16:00:00,BTC/USD,63001.0,63630.0,62744.0,62853.79183398,26427547.914301187,420.46067776
1634828400000,2021-10-21 15:00:00,BTC/USD,63659.0,63884.0,61855.0,63001.0,76871354.06554563,1220.16085563
1634824800000,2021-10-21 14:00:00,BTC/USD,64739.0,64918.0,62914.0,63657.0,73141699.50818281,1148.9969604
1634821200000,2021-10-21 13:00:00,BTC/USD,65072.81228347,65523.0,64696.0,64727.42090404,54497688.856749214,841.95674871
1634817600000,2021-10-21 12:00:00,BTC/USD,64864.53269242,65138.0,64380.0,65072.0,25147094.056299042,386.45030207
1634814000000,2021-10-21 11:00:00,BTC/USD,65646.0,65976.0,64200.0,64846.0,62769203.24100658,967.97340223
1634810400000,2021-10-21 10:00:00,BTC/USD,66207.49081551,66215.3676293,65646.0,65660.0,16218031.428123,247.00017405
