unixNow,btcNow,unixFuture,btcFuture,event
1526364000000,8739.0,1526367600000,8743.0,0
1526367600000,8743.0,1526371200000,8723.7,0
1526371200000,8723.7,1526374800000,8708.1,0
1526374800000,8708.1,1526378400000,8784.4,0
1526378400000,8784.4,1526382000000,8755.2,0
1526382000000,8755.2,1526385600000,8762.0,0
1526385600000,8762.0,1526389200000,8742.6,0
1526389200000,8742.6,1526392800000,8512.0,0
1526392800000,8512.0,1526396400000,8520.8,0
1526396400000,8520.8,1526400000000,8532.1,0
1526400000000,8532.1,1526403600000,8553.8,0
1526403600000,8553.8,1526407200000,8516.5,0
1526407200000,8516.5,1526410800000,8551.2,0
1526410800000,8551.2,1526414400000,8516.7,0
1526414400000,8516.7,1526418000000,8476.0,0
1526418000000,8476.0,1526421600000,8459.9,0
1526421600000,8459.9,1526425200000,8467.5,0
1526425200000,8467.5,1526428800000,8454.2,0
1526428800000,8454.2,1526432400000,8327.9,0
1526432400000,8327.9,1526436000000,8124.4,0
1526436000000,8124.4,1526439600000,8152.0,0
1526439600000,8152.0,1526443200000,8205.3,0
1526443200000,8205.3,1526446800000,8197.7,0
1526446800000,8197.7,1526450400000,8223.9,0
1526450400000,8223.9,1526454000000,8221.1,0
1526454000000,8221.1,1526457600000,8194.2,0
1526457600000,8194.2,1526461200000,8225.1,0
1526461200000,8225.1,1526464800000,8357.2,0
1526464800000,8357.2,1526468400000,8358.5,0
1526468400000,8358.5,1526472000000,8348.6,0
1526472000000,8348.6,1526475600000,8158.1,0
1526475600000,8158.1,1526479200000,8205.9,0
1526479200000,8205.9,1526482800000,8276.0,0
1526482800000,8276.0,1526486400000,8255.2,0
1526486400000,8255.2,1526490000000,8286.4,0
1526490000000,8286.4,1526493600000,8266.2,0
1526493600000,8266.2,1526497200000,8227.4,0
1526497200000,8227.4,1526500800000,8290.0,0
1526500800000,8290.0,1526504400000,8271.9,0
1526504400000,8271.9,1526508000000,8278.1,0
1526508000000,8278.1,1526511600000,8336.1,0
1526511600000,8336.1,1526515200000,8346.07,0
1526515200000,8346.07,1526518800000,8368.7,0
1526518800000,8368.7,1526522400000,8373.5,0
1526522400000,8373.5,1526526000000,8355.0,0
1526526000000,8355.0,1526529600000,8319.5,0
1526529600000,8319.5,1526533200000,8352.2,0
1526533200000,8352.2,1526536800000,8337.8,0
1526536800000,8337.8,1526540400000,8246.7,0
1526540400000,8246.7,1526544000000,8270.1,0
1526544000000,8270.1,1526547600000,8279.4,0
1526547600000,8279.4,1526551200000,8296.4,0
1526551200000,8296.4,1526554800000,8302.0,0
1526554800000,8302.0,1526558400000,8274.8,0
1526558400000,8274.8,1526562000000,8288.8,0
1526562000000,8288.8,1526565600000,8311.8,0
1526565600000,8311.8,1526569200000,8300.9,0
1526569200000,8300.9,1526572800000,8271.6,0
1526572800000,8271.6,1526576400000,8250.0,0
1526576400000,8250.0,1526580000000,8163.4,0
1526580000000,8163.4,1526583600000,8170.0,0
1526583600000,8170.0,1526587200000,8206.1,0
1526587200000,8206.1,1526590800000,8147.08,0
1526590800000,8147.08,1526594400000,8069.9,0
1526594400000,8069.9,1526598000000,8054.3,0
1526598000000,8054.3,1526601600000,7958.0,0
1526601600000,7958.0,1526605200000,7981.1,0
1526605200000,7981.1,1526608800000,7995.1,0
1526608800000,7995.1,1526612400000,7996.0,0
1526612400000,7996.0,1526616000000,8016.0,0
1526616000000,8016.0,1526619600000,8035.7,0
1526619600000,8035.7,1526623200000,7964.0,0
1526623200000,7964.0,1526626800000,8085.0,0
